ID,First,Last,Team,Pos,JNo,Wgt,Ovr,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr,Rank
11,Gerard,Gallant,DET,F,17,188,57,2,2,3,3,3,4,Left,3,3,3,1,3,4,Bad
12,John,Ogrodnick,DET,F,25,212,61,3,3,3,3,3,3,Left,3,4,2,1,3,0,Average
13,Dino,Ciccarelli,DET,F,22,180,80,5,4,4,2,5,2,Right,5,5,4,1,4,3,Good
14,Ray,Sheppard,DET,F,26,188,59,2,2,4,3,3,3,Right,3,4,3,2,2,2,Bad
15,Bob,Probert,DET,F,24,228,60,4,3,3,3,3,4,Left,2,2,4,2,3,5,Average
16,Sheldon,Kennedy,DET,F,15,172,52,3,3,3,2,2,2,Right,2,4,2,5,2,2,Bad
17,Jim,Hiller,DET,F,14,196,44,2,2,2,1,2,3,Right,2,2,1,4,2,4,Bad
18,Paul,Coffey,DET,D,77,212,83,6,5,4,3,4,2,Left,6,1,5,1,5,3,Great
19,Steve,Chiasson,DET,D,3,212,68,4,3,4,4,4,3,Left,4,1,4,2,3,4,Average
20,Yves,Racine,DET,D,33,188,60,3,3,3,4,4,3,Left,3,1,4,2,3,3,Average
21,Nicklas,Lidstrom,DET,D,5,180,66,4,3,3,4,4,3,Left,4,1,4,2,4,1,Average
22,Mark,Howe,DET,D,4,188,58,3,3,3,4,3,3,Left,3,1,3,0,3,1,Bad
23,Vladimir,Konstantov,DET,D,16,188,58,3,3,2,4,3,4,Right,3,1,4,2,3,3,Bad
24,Steve,Konroyd,DET,D,8,204,51,3,3,2,3,2,4,Left,2,1,3,2,3,3,Bad
25,Brad,McCrimmon,DET,D,2,204,47,3,2,2,4,2,4,Left,1,0,3,1,3,3,Bad
1,Bill,Ranford,EDM,G,30,172,66,4,3,3,3,4,0,Right,0,0,4,4,5,4,Good
2,Ron,Tugnutt,EDM,G,1,156,40,2,3,3,3,1,0,Right,0,0,1,1,1,2,Bad
3,Doug,Weight,EDM,F,39,188,65,3,3,3,4,3,3,Left,4,3,3,1,3,2,Average
4,Todd,Elik,EDM,F,34,196,59,3,4,3,3,2,2,Left,3,3,3,1,2,3,Bad
5,Craig,MacTavish,EDM,F,14,204,61,4,3,2,4,2,4,Left,3,2,5,2,2,3,Average
6,Kevin,Todd,EDM,F,15,180,61,3,4,3,3,3,3,Left,3,2,3,3,3,2,Average
7,Shjon,Podein,EDM,F,26,212,48,2,2,3,2,2,2,Left,2,4,2,5,1,2,Bad
8,Mike,Hudson,EDM,F,20,212,51,3,3,2,4,2,4,Left,2,0,3,2,3,3,Bad
9,Shayne,Corson,EDM,F,9,212,71,4,4,3,4,3,4,Left,4,2,4,2,3,4,Good
10,Craig,Simpson,EDM,F,18,204,69,3,3,4,3,4,2,Right,4,5,3,1,3,2,Average
11,Zdeno,Ciger,EDM,F,8,196,60,4,3,3,3,3,2,Left,3,3,3,2,3,0,Average
12,Kelly,Buchberger,EDM,F,16,220,47,2,2,2,3,2,4,Left,1,3,3,2,1,3,Bad
13,Martin,Gelinas,EDM,F,7,204,49,3,3,2,2,3,2,Left,3,2,2,4,2,2,Bad
14,Louie,DeBrusk,EDM,F,29,236,42,1,1,2,1,2,3,Left,1,4,1,5,1,5,Bad
15,Petr,Klima,EDM,F,85,196,76,5,5,3,2,4,1,Right,5,5,4,5,3,3,Good
16,Scott,Mellanby,EDM,F,27,212,49,1,1,3,3,3,4,Right,2,3,3,3,2,4,Bad
17,Steven,Rice,EDM,F,12,228,41,2,2,2,1,2,1,Right,2,1,1,2,2,3,Bad
18,Dave,Manson,EDM,D,24,212,74,4,4,3,5,5,4,Left,4,1,5,4,3,4,Good
19,Igor,Kravchuk,EDM,D,21,212,66,4,3,3,4,3,3,Left,4,2,4,4,3,2,Average
20,Brian,Benning,EDM,D,19,204,53,2,2,3,4,3,3,Left,2,2,4,2,3,4,Bad
21,Geoff,Smith,EDM,D,25,212,49,4,3,2,3,1,1,Left,3,1,3,2,3,1,Bad
22,Brian,Glynn,EDM,D,6,228,51,3,3,2,3,4,3,Left,2,1,4,3,2,3,Bad
23,Luke,Richardson,EDM,D,22,228,49,3,3,1,3,2,4,Left,3,0,2,4,3,4,Bad
24,Chris,Joseph,EDM,D,2,220,50,3,3,3,1,3,3,Right,3,1,1,2,3,3,Bad
25,Brad,Werenka,EDM,D,36,212,51,3,3,2,2,3,2,Left,3,3,2,5,2,3,Bad
1,John,Vanbiesbrk,FLA,G,34,180,62,3,4,5,5,3,0,Right,0,0,3,4,3,4,Average
2,Mark,Fitzpatrik,FLA,G,30,196,44,2,4,2,2,3,0,Right,0,0,2,2,2,2,Bad
3,Tom,Fitzgerald,FLA,F,14,204,46,2,2,2,3,2,2,Right,2,2,3,2,2,2,Bad
4,Scott,Mellanby,FLA,F,27,212,49,1,1,3,3,3,4,Right,2,3,3,3,2,4,Bad
5,Brian,Skrudland,FLA,F,39,204,60,4,2,2,4,2,4,Left,3,3,4,4,3,4,Average
6,Mike,Hough,FLA,F,18,196,53,3,2,3,3,3,2,Left,3,2,3,2,3,3,Bad
7,Dave,Lowry,FLA,F,10,204,47,2,2,2,3,2,3,Left,2,2,3,4,2,4,Bad
8,Andrei,Lomakin,FLA,F,23,196,57,4,3,3,2,3,1,Left,3,3,3,2,4,2,Bad
9,Randy,Gilhen,FLA,F,20,196,45,2,2,1,3,2,3,Left,2,1,3,5,2,1,Bad
10,Jesse,Belanger,FLA,F,29,172,44,1,2,3,1,2,2,Left,2,2,1,4,2,1,Bad
11,Bill,Lindsay,FLA,F,22,196,44,1,2,2,2,2,2,Left,2,2,2,4,2,1,Bad
12,Joe,Cirella,FLA,D,6,220,48,3,3,2,2,3,2,Right,2,2,3,3,2,3,Bad
13,Alexnder,Godynyuk,FLA,D,21,220,47,2,3,2,2,2,3,Left,2,2,3,5,1,2,Bad
14,Gord,Murphy,FLA,D,28,204,63,5,4,2,3,4,4,Right,3,1,3,3,3,3,Average
15,Gord,Hynes,FLA,D,26,172,45,2,2,2,2,1,3,Left,2,2,2,5,2,2,Bad
16,Milan,Tichy,FLA,D,43,204,43,3,2,1,1,2,3,Left,2,1,2,2,2,4,Bad
17,Stephane,Richer,FLA,D,25,212,57,3,3,3,3,3,3,Right,3,2,3,3,2,2,Bad
1,Sean,Burke,HFD,G,1,220,61,4,3,2,2,4,0,Right,0,0,4,4,4,4,Good
2,Mario,Gosselin,HFD,G,31,164,46,2,3,4,4,2,0,Right,0,0,1,1,2,2,Average
3,Frank,Pietrngelo,HFD,G,40,188,44,3,3,1,1,3,0,Right,0,0,2,2,2,2,Bad
4,Andrew,Cassels,HFD,F,21,196,65,3,3,4,4,2,2,Left,3,4,4,0,3,2,Average
5,Terry,Yake,HFD,F,25,188,66,3,3,4,3,3,3,Right,3,4,4,0,3,2,Average
6,Mikael,Nylander,HFD,F,36,180,56,4,3,3,2,3,2,Left,3,2,3,1,3,2,Bad
7,Robert,Kron,HFD,F,38,180,59,3,3,3,4,2,2,Left,3,3,3,4,3,2,Bad
8,Robert,Petrovicky,HFD,F,39,180,51,4,3,2,2,3,2,Left,3,1,3,4,3,3,Bad
9,Geoff,Sanderson,HFD,F,8,188,73,4,4,4,3,4,2,Left,4,4,4,3,3,1,Good
10,Patrick,Poulin,HFD,F,24,220,58,3,3,3,2,3,3,Left,3,3,3,2,3,2,Bad
11,Yvon,Corriveau,HFD,F,11,204,45,2,2,2,3,2,3,Left,1,2,3,3,1,1,Bad
12,Jim,McKenzie,HFD,F,33,212,42,2,2,1,1,2,2,Left,2,2,2,3,1,4,Bad
13,Randy,Cunnyworth,HFD,F,7,188,49,2,3,2,3,2,3,Left,2,2,3,5,3,3,Bad
14,Pat,Verbeek,HFD,F,16,196,74,3,4,4,3,4,3,Right,4,4,4,2,4,4,Good
15,Mark,Janssens,HFD,F,22,228,62,3,3,3,3,3,4,Left,3,3,4,1,2,4,Average
16,Nick,Kypreos,HFD,F,20,204,47,2,2,2,2,1,3,Left,2,4,3,4,1,5,Bad
17,Mark,Greig,HFD,F,17,196,36,1,1,2,1,0,1,Right,1,1,1,0,1,3,Bad
18,Jamie,Leach,HFD,F,34,204,48,3,3,2,1,2,3,Right,2,3,1,5,2,0,Bad
19,Zarley,Zalapski,HFD,D,3,220,80,5,4,4,5,4,4,Left,4,2,5,1,3,3,Good
20,Eric,Weinrich,HFD,D,4,220,64,3,4,3,4,3,3,Left,3,2,4,1,3,3,Average
21,Adam,Burt,HFD,D,6,196,60,4,3,2,3,4,3,Left,4,1,4,3,3,4,Average
22,Dan,Keczmer,HFD,D,37,196,44,2,2,2,3,1,1,Left,2,2,2,5,1,3,Bad
23,Doug,Houda,HFD,D,27,196,42,2,2,1,2,2,2,Right,2,1,2,4,1,4,Bad
24,Randy,Ladouceur,HFD,D,29,228,45,3,3,1,3,1,2,Left,2,1,3,5,1,4,Bad
25,Allen,Pedersen,HFD,D,41,220,46,2,3,1,3,2,3,Left,2,1,2,1,2,3,Bad
1,Kelly,Hrudey,LA,G,32,188,58,3,3,4,4,4,0,Right,0,0,2,2,2,3,Average
2,Robb,Stauber,LA,G,35,188,52,2,3,5,5,3,0,Right,0,0,2,2,2,2,Average
3,Rick,Knickle,LA,G,1,156,44,2,3,3,3,2,0,Right,0,0,2,2,2,1,Bad
4,Wayne,Gretzky,LA,F,99,172,87,6,4,5,4,2,2,Left,6,2,6,0,6,0,Great
5,Jimmy,Carson,LA,F,12,212,76,4,4,4,3,4,2,Right,4,5,4,2,4,1,Good
6,Corey,Millen,LA,F,23,172,63,3,4,4,3,2,1,Right,3,4,3,3,3,3,Average
7,Gary,Shuchuk,LA,F,14,188,41,2,2,2,0,1,2,Right,2,2,0,3,2,2,Bad
8,Luc,Robitaille,LA,F,20,196,85,4,4,5,3,4,2,Left,5,6,5,2,4,3,Great
9,Tony,Granato,LA,F,21,188,75,4,5,4,4,3,3,Right,3,4,3,3,3,4,Good
10,Lonnie,Loach,LA,F,29,188,49,2,3,3,2,2,2,Left,2,3,2,2,2,2,Bad
11,Pat,Conacher,LA,F,15,196,46,2,2,2,2,2,2,Left,2,3,2,4,3,1,Bad
12,Warren,Rychel,LA,F,10,196,42,2,2,2,1,1,3,Left,1,2,1,5,1,5,Bad
13,Tomas,Sandstrom,LA,F,7,212,80,4,4,5,3,5,3,Left,4,5,3,2,3,3,Good
14,Jari,Kurri,LA,F,17,204,70,4,3,4,4,4,2,Right,4,3,4,1,3,2,Average
15,Mike,Donnelly,LA,F,11,188,65,4,4,4,3,2,3,Left,2,3,4,3,3,2,Average
16,Dave,Taylor,LA,F,18,196,51,3,2,2,3,3,3,Right,3,2,3,3,2,3,Bad
17,Rob,Blake,LA,D,4,228,72,4,4,4,4,4,3,Right,4,1,4,3,4,4,Good
18,Marty,McSorley,LA,D,33,250,61,3,3,3,4,3,3,Right,3,2,4,4,3,6,Average
19,Alexei,Zhitnik,LA,D,2,180,66,4,4,3,4,3,3,Left,3,2,4,1,3,3,Average
20,Darryl,Sydor,LA,D,25,212,53,3,3,2,3,3,3,Left,3,1,3,2,3,2,Bad
21,Charlie,Huddy,LA,D,22,220,52,3,2,2,4,3,3,Left,3,1,3,1,3,2,Bad
