First,Last,Abv,JNo,Pos,roster_index
Enrico,Ciccone,DAL,39,D,23
Tim,Cheveldae,DET,32,G,0
Vincent,Riendeau,DET,37,G,1
Steve,Yzerman,DET,19,F,2
Sergei,Fedorov,DET,91,F,3
Dallas,Drake,DET,28,F,4
Mike,Sillinger,DET,23,F,5
Vachslav,Kozlov,DET,13,F,6
Paul,Ysebaert,DET,21,F,7
Shawn,Burr,DET,11,F,8
Keith,Primeau,DET,55,F,9
Gerard,Gallant,DET,17,F,10
John,Ogrodnick,DET,25,F,11
Dino,Ciccarelli,DET,22,F,12
Ray,Sheppard,DET,26,F,13
Bob,Probert,DET,24,F,14
Sheldon,Kennedy,DET,15,F,15
Jim,Hiller,DET,14,F,16
Paul,Coffey,DET,77,D,17
Steve,Chiasson,DET,3,D,18
Yves,Racine,DET,33,D,19
Nicklas,Lidstrom,DET,5,D,20
Mark,Howe,DET,4,D,21
Vladimir,Konstantov,DET,16,D,22
Steve,Konroyd,DET,8,D,23
Brad,McCrimmon,DET,2,D,24
Bill,Ranford,EDM,30,G,0
Doug,Weight,EDM,39,F,1
Todd,Elik,EDM,34,F,2
Craig,MacTavish,EDM,14,F,3
Kevin,Todd,EDM,15,F,4
Shjon,Podein,EDM,26,F,5
Mike,Hudson,EDM,20,F,6
Shayne,Corson,EDM,9,F,7
Craig,Simpson,EDM,18,F,8
Zdeno,Ciger,EDM,8,F,9
Kelly,Buchberger,EDM,16,F,10
Martin,Gelinas,EDM,7,F,11
Louie,DeBrusk,EDM,29,F,12
Petr,Klima,EDM,85,F,13
Steven,Rice,EDM,12,F,14
Dave,Manson,EDM,24,D,15
Igor,Kravchuk,EDM,21,D,16
Brian,Benning,EDM,19,D,17
Geoff,Smith,EDM,25,D,18
Brian,Glynn,EDM,6,D,19
Luke,Richardson,EDM,22,D,20
Chris,Joseph,EDM,2,D,21
Brad,Werenka,EDM,36,D,22
John,Vanbiesbrk,FLA,34,G,0
Mark,Fitzpatrik,FLA,30,G,1
Tom,Fitzgerald,FLA,14,F,2
Scott,Mellanby,FLA,27,F,3
Brian,Skrudland,FLA,39,F,4
Mike,Hough,FLA,18,F,5
Dave,Lowry,FLA,10,F,6
Andrei,Lomakin,FLA,23,F,7
Randy,Gilhen,FLA,20,F,8
Jesse,Belanger,FLA,29,F,9
Bill,Lindsay,FLA,22,F,10
Joe,Cirella,FLA,6,D,11
Alexnder,Godynyuk,FLA,21,D,12
Gord,Murphy,FLA,28,D,13
Gord,Hynes,FLA,26,D,14
Milan,Tichy,FLA,43,D,15
StephanD,Richer,FLA,25,D,16
Sean,Burke,HFD,1,G,0
Mario,Gosselin,HFD,31,G,1
Frank,Pietrngelo,HFD,40,G,2
Andrew,Cassels,HFD,21,F,3
Mikael,Nylander,HFD,36,F,4
Robert,Kron,HFD,38,F,5
Robert,Petrovicky,HFD,39,F,6
Geoff,Sanderson,HFD,8,F,7
Patrick,Poulin,HFD,24,F,8
Yvon,Corriveau,HFD,11,F,9
Jim,McKenzie,HFD,33,F,10
Randy,Cunnyworth,HFD,7,F,11
Pat,Verbeek,HFD,16,F,12
Mark,Janssens,HFD,22,F,13
Nick,Kypreos,HFD,20,F,14
Mark,Greig,HFD,17,F,15
Jamie,Leach,HFD,34,F,16
Zarley,Zalapski,HFD,3,D,17
Eric,Weinrich,HFD,4,D,18
Adam,Burt,HFD,6,D,19
Dan,Keczmer,HFD,37,D,20
Doug,Houda,HFD,27,D,21
Allen,Pedersen,HFD,41,D,22
Kelly,Hrudey,LA,32,G,0
Robb,Stauber,LA,35,G,1
Rick,Knickle,LA,1,G,2
Wayne,Gretzky,LA,99,F,3
Jimmy,Carson,LA,12,F,4
Corey,Millen,LA,23,F,5
Gary,Shuchuk,LA,14,F,6
Luc,Robitaille,LA,20,F,7
Tony,Granato,LA,21,F,8
Pat,Conacher,LA,15,F,9
Warren,Rychel,LA,10,F,10
Tomas,Sandstrom,LA,7,F,11
Jari,Kurri,LA,17,F,12
Mike,Donnelly,LA,11,F,13
Dave,Taylor,LA,18,F,14
Rob,Blake,LA,4,D,15
Marty,McSorley,LA,33,D,16
Alexei,Zhitnik,LA,2,D,17
Darryl,Sydor,LA,25,D,18
Charlie,Huddy,LA,22,D,19
Mark,Hardy,LA,24,D,20
Brent,Thompson,LA,3,D,21
Tim,Watters,LA,5,D,22
Rene,Chapdlaine,LA,8,D,23
Patrick,Roy,MTL,33,G,0
Andre,Racicot,MTL,37,G,1
Kirk,Muller,MTL,11,F,2
Stephan,Lebeau,MTL,47,F,3
Denis,Savard,MTL,18,F,4
Guy,Carbonneau,MTL,21,F,5
Vincent,Damphousse,MTL,25,F,6
Gilbert,Dionne,MTL,45,F,7
John,Leclair,MTL,17,F,8
Benoit,Brunet,MTL,22,F,9
Mario,Roberge,MTL,32,F,10
Brian,Bellows,MTL,23,F,11
Mike,Keane,MTL,12,F,12
Gary,Leeman,MTL,26,F,13
Todd,Ewen,MTL,36,F,14
Ed,Ronan,MTL,31,F,15
Eric,Desjardins,MTL,28,D,16
Matt,Schneider,MTL,27,D,17
Patrice,Brisebois,MTL,43,D,18
Kevin,Haller,MTL,14,D,19
Rob,Ramage,MTL,5,D,20
J.J.,Daigneault,MTL,48,D,21
Lyle,Odelein,MTL,24,D,22
Donald,Dufresne,MTL,34,D,23
Chris,Terreri,NJ,31,G,0
Craig,Billington,NJ,1,G,1
Alexnder,Semak,NJ,20,F,2
Bernie,Nicholls,NJ,19,F,3
Peter,Stastny,NJ,26,F,4
Janne,Ojanen,NJ,34,F,5
Valeri,Zelepukin,NJ,25,F,6
John,MacLean,NJ,15,F,7
Bobby,Holik,NJ,16,F,8
Tom,Chorske,NJ,9,F,9
Troy,Mallette,NJ,8,F,10
Stephane,Richer,NJ,44,F,11
Claude,Lemieux,NJ,22,F,12
Bill,Guerin,NJ,12,F,13
Randy,McKay,NJ,21,F,14
Scott,Pellerin,NJ,18,F,15
Dave,Barr,NJ,11,F,16
Scott,Stevens,NJ,4,D,17
Vachslav,Fetisov,NJ,2,D,18
Bruce,Driver,NJ,23,D,19
Scott,Niedrmayer,NJ,27,D,20
Ken,Daneyko,NJ,3,D,21
Tommy,Albelin,NJ,6,D,22
Myles,O'Connor,NJ,5,D,23
Glenn,Healy,NYI,35,G,0
Pierre,Turgeon,NYI,77,F,1
Benoit,Hogue,NYI,33,F,2
Marty,McInnis,NYI,18,F,3
Travis,Green,NYI,39,F,4
Ray,Ferraro,NYI,20,F,5
Claude,Loiselle,NYI,10,F,6
Steve,Thomas,NYI,32,F,7
Derek,King,NYI,27,F,8
Dave,Volek,NYI,25,F,9
Patrick,Flatley,NYI,26,F,10
Brian,Mullen,NYI,16,F,11
Brad,Dalgarno,NYI,15,F,12
Mick,Vukota,NYI,12,F,13
Vladimir,Malakhov,NYI,23,D,14
Darius,Kasparitis,NYI,11,D,15
Jeff,Norton,NYI,8,D,16
Uwe,Krupp,NYI,4,D,17
Tom,Kurvers,NYI,28,D,18
Scott,Lachance,NYI,7,D,19
Dennis,Vaske,NYI,37,D,20
Richard,Pilon,NYI,47,D,21
Mike,Richter,NYR,35,G,0
Mark,Messier,NYR,11,F,1
Sergei,Nemchinov,NYR,13,F,2
Darren,Turcotte,NYR,8,F,3
Ed,Olczyk,NYR,12,F,4
Esa,Tikkanen,NYR,10,F,5
Adam,Graves,NYR,9,F,6
Phil,Bourque,NYR,29,F,7
Jan,Erixon,NYR,20,F,8
Mike,Gartner,NYR,22,F,9
Tony,Amonte,NYR,33,F,10
Alexei,Kovalev,NYR,27,F,11
Paul,Broten,NYR,37,F,12
Joey,Kocur,NYR,26,F,13
Mike,Hartman,NYR,18,F,14
Brian,Leetch,NYR,2,D,15
James,Patrick,NYR,3,D,16
Sergei,Zubov,NYR,21,D,17
Jeff,Beukeboom,NYR,23,D,18
Kevin,Lowe,NYR,4,D,19
Peter,Andersson,NYR,5,D,20
Jay,Wells,NYR,24,D,21
Peter,Sidorkwicz,OTW,31,G,0
Daniel,Berthiaume,OTW,32,G,1
Jamie,Baker,OTW,13,F,2
Mark,Lamb,OTW,7,F,3
Neil,Brady,OTW,12,F,4
Mark,Freer,OTW,11,F,5
Laurie,Boschman,OTW,16,F,6
David,Archibald,OTW,15,F,7
Rob,Murphy,OTW,18,F,8
Sylvain,Turgeon,OTW,61,F,9
Mike,Peluso,OTW,44,F,10
Doug,Smail,OTW,9,F,11
Jeff,Lazaro,OTW,28,F,12
Darcy,Loewen,OTW,10,F,13
Bob,Kudelski,OTW,26,F,14
Jody,Hull,OTW,17,F,15
Andrew,McBain,OTW,20,F,16
Tomas,Jelinek,OTW,25,D,17
Norm,Maciver,OTW,22,D,18
Brad,Shaw,OTW,4,D,19
Darren,Rumble,OTW,34,D,20
Chris,Luongo,OTW,23,D,21
Ken,Hammond,OTW,5,D,22
Gord,Dineen,OTW,6,D,23
Brad,Marsh,OTW,14,D,24
Tommy,Soderstrom,PHI,30,G,0
Dominic,Roussel,PHI,33,G,1
Steph,Beauregard,PHI,35,G,2
Eric,Lindros,PHI,88,F,3
Rod,BrindAmour,PHI,17,F,4
Pelle,Eklund,PHI,9,F,5
Josef,Beranek,PHI,42,F,6
Keith,Acton,PHI,25,F,7
Vachslav,Butsayev,PHI,22,F,8
Brent,Fedyk,PHI,18,F,9
Doug,Evans,PHI,15,F,10
Dave,Snuggerud,PHI,14,F,11
Claude,Boivin,PHI,10,F,12
Mark,Recchi,PHI,8,F,13
Kevin,Dineen,PHI,11,F,14
Dave,Brown,PHI,21,F,15
Garry,Galley,PHI,3,D,16
Dimitri,Yushkevich,PHI,2,D,17
Greg,Hawgood,PHI,20,D,18
Terry,Carkner,PHI,29,D,19
Ric,Nattress,PHI,5,D,20
Ryan,McGill,PHI,27,D,21
Shawn,Cronin,PHI,44,D,22
Tom,Barrasso,PIT,35,G,0
Ken,Wregget,PIT,31,G,1
Mario,Lemieux,PIT,66,F,2
Ron,Francis,PIT,10,F,3
Shawn,McEachern,PIT,15,F,4
Mike,Stapleton,PIT,26,F,5
Kevin,Stevens,PIT,25,F,6
Dave,Tippett,PIT,14,F,7
Jeff,Daniels,PIT,20,F,8
Jaromir,Jagr,PIT,68,F,9
Rick,Tocchet,PIT,22,F,10
Joe,Mullen,PIT,7,F,11
Martin,Straka,PIT,82,F,12
Mike,Needham,PIT,39,F,13
Jay,Caufield,PIT,16,F,14
Larry,Murphy,PIT,55,D,15
Ulf,Samuelsson,PIT,5,D,16
Jim,Paek,PIT,2,D,17
Paul,Stanton,PIT,23,D,18
Peter,Taglianeti,PIT,32,D,19
Mike,Ramsey,PIT,6,D,20
Kjell,Samuelsson,PIT,28,D,21
Grant,Jennings,PIT,3,D,22
Bryan,Fogarty,PIT,33,D,23
Ron,Hextall,QUE,27,G,0
Stephane,Fiset,QUE,35,G,1
Joe,Sakic,QUE,19,F,2
Mike,Ricci,QUE,9,F,3
Claude,Lapointe,QUE,47,F,4
Martin,Rucinsky,QUE,25,F,5
Valeri,Kamensky,QUE,31,F,6
Gino,Cavallini,QUE,44,F,7
Scott,Pearson,QUE,22,F,8
Chris,Simon,QUE,12,F,9
Tony,Twist,QUE,15,F,10
Mats,Sundin,QUE,13,F,11
Owen,Nolan,QUE,11,F,12
Andrei,Kovalenko,QUE,51,F,13
Scott,Young,QUE,48,F,14
Steve,Duchesne,QUE,28,D,15
Curtis,Leschyshyn,QUE,7,D,16
Alexei,Gusarov,QUE,5,D,17
Kerry,Huffman,QUE,2,D,18
Adam,Foote,QUE,52,D,19
Steven,Finn,QUE,29,D,20
Mikhail,Tatarinov,QUE,4,D,21
Craig,Wolanin,QUE,6,D,22
Arturs,Irbe,SJ,32,G,0
Jeff,Hackett,SJ,30,G,1
Brian,Hayward,SJ,1,G,2
Kelly,Kisio,SJ,11,F,3
Rob,Gaudreau,SJ,37,F,4
Dean,Evason,SJ,12,F,5
Mike,Sullivan,SJ,47,F,6
Perry,Berezan,SJ,16,F,7
Johan,Garpenlov,SJ,10,F,8
Jeff,Odgers,SJ,36,F,9
John,Carter,SJ,20,F,10
David,Maley,SJ,25,F,11
Pat,Falloon,SJ,17,F,12
Ed,Courtenay,SJ,39,F,13
Mark,Pederson,SJ,18,F,14
Doug,Wilson,SJ,24,D,15
Neil,Wilkinson,SJ,5,D,16
Sandis,Ozolinsh,SJ,6,D,17
Tom,Pederson,SJ,41,D,18
Doug,Zmolek,SJ,19,D,19
Jay,More,SJ,4,D,20
Peter,Ahola,SJ,21,D,21
Rob,Zettler,SJ,2,D,22
Curtis,Joseph,STL,31,G,0
Craig,Janney,STL,15,F,1
Nelson,Emerson,STL,7,F,2
Ron,Sutter,STL,22,F,3
Ron,Wilson,STL,18,F,4
Bob,Bassen,STL,28,F,5
Philippe,Bozon,STL,36,F,6
Igor,Korolev,STL,38,F,7
Basil,McRae,STL,17,F,8
Brendan,Shanahan,STL,19,F,9
Brett,Hull,STL,16,F,10
Kevin,Miller,STL,14,F,11
Rich,Sutter,STL,23,F,12
Kelly,Chase,STL,39,F,13
Jeff,Brown,STL,21,D,14
Garth,Butcher,STL,5,D,15
Doug,Crossman,STL,6,D,16
Rick,Zombo,STL,4,D,17
Stephane,Quintal,STL,33,D,18
Lee,Norwood,STL,20,D,19
Bret,Hedican,STL,44,D,20
Curt,Giles,STL,2,D,21
Murray,Baron,STL,34,D,22
Wendell,Young,TB,1,G,0
Pat,Jablonski,TB,35,G,1
J.C.,Bergeron,TB,30,G,2
Brian,Bradley,TB,19,F,3
Chris,Kontos,TB,16,F,4
Adam,Creighton,TB,10,F,5
Marc,Bureau,TB,28,F,6
Rob,DiMaio,TB,18,F,7
Steve,Kasper,TB,11,F,8
Jason,Lafreniere,TB,17,F,9
Mikael,Andersson,TB,34,F,10
Rob,Zamuner,TB,7,F,11
Steve,Maltais,TB,37,F,12
John,Tucker,TB,14,F,13
Danton,Cole,TB,24,F,14
Tim,Bergland,TB,21,F,15
Stan,Drulia,TB,27,F,16
Bob,Beers,TB,2,D,17
Roman,Hamrlik,TB,44,D,18
Shawn,Chambers,TB,22,D,19
Marc,Bergevin,TB,25,D,20
Joe,Reekie,TB,29,D,21
Chris,Lipuma,TB,40,D,22
Matt,Hervey,TB,26,D,23
Felix,Potvin,TOR,29,G,0
Daren,Puppa,TOR,1,G,1
Doug,Gilmour,TOR,93,F,2
John,Cullen,TOR,19,F,3
Mike,Krushelski,TOR,26,F,4
Peter,Zezel,TOR,25,F,5
Dave,McLlwain,TOR,7,F,6
Dave,Andreychuk,TOR,14,F,7
Wendel,Clark,TOR,17,F,8
Mark,Osborne,TOR,21,F,9
Bill,Berg,TOR,10,F,10
Nikolai,Borshevsky,TOR,16,F,11
Glenn,Anderson,TOR,9,F,12
Rob,Pearson,TOR,12,F,13
Mike,Foligno,TOR,71,F,14
Ken,Baumgartnr,TOR,22,F,15
Todd,Gill,TOR,23,D,16
Dave,Ellett,TOR,4,D,17
Dimitri,Mironov,TOR,15,D,18
Drake,Berehowsky,TOR,55,D,19
Jamie,Macoun,TOR,34,D,20
Bob,Rouse,TOR,3,D,21
Sylvain,Lefebvre,TOR,2,D,22
Bob,McGill,TOR,8,D,23
Kirk,McLean,VAN,1,G,0
Kay,Whitmore,VAN,35,G,1
Cliff,Ronning,VAN,7,F,2
Petr,Nedved,VAN,19,F,3
Tom,Fergus,VAN,15,F,4
Geoff,Courtnall,VAN,14,F,5
Murray,Craven,VAN,32,F,6
Greg,Adams,VAN,8,F,7
Sergio,Momesso,VAN,27,F,8
Gino,Odjick,VAN,29,F,9
Garry,Valk,VAN,23,F,10
Pavel,Bure,VAN,10,F,11
Trevor,Linden,VAN,16,F,12
Dixon,Ward,VAN,17,F,13
Jim,Sandlak,VAN,25,F,14
Tim,Hunter,VAN,26,F,15
Jyrki,Lumme,VAN,21,D,16
Doug,Lidster,VAN,3,D,17
Adrien,Plavsic,VAN,6,D,18
Jiri,Slegr,VAN,24,D,19
Gerald,Diduck,VAN,4,D,20
Dave,Babych,VAN,44,D,21
Dana,Murzyn,VAN,5,D,22
Robert,Dirk,VAN,22,D,23
Don,Beaupre,WSH,33,G,0
Rick,Tabaracci,WSH,31,G,1
Mike,Ridley,WSH,17,F,2
Dimitri,Khristich,WSH,8,F,3
Dale,Hunter,WSH,32,F,4
Michal,Pivonka,WSH,20,F,5
Steve,Konowlchuk,WSH,22,F,6
Reggie,Savage,WSH,15,F,7
Bob,Carpenter,WSH,11,F,8
Todd,Krygier,WSH,21,F,9
Alan,May,WSH,16,F,10
Peter,Bondra,WSH,12,F,11
Pat,Elynuik,WSH,19,F,12
Kelly,Miller,WSH,10,F,13
Keith,Jones,WSH,26,F,14
Paul,MacDermid,WSH,23,F,15
Kevin,Hatcher,WSH,4,D,16
Al,Iafrate,WSH,34,D,17
Sylvain,Cote,WSH,3,D,18
Calle,Johansson,WSH,6,D,19
Paul,Cavallini,WSH,14,D,20
Shawn,Anderson,WSH,36,D,21
Jason,Woolley,WSH,25,D,22
Rod,Langway,WSH,5,D,23
Bob,Essensa,WPG,35,G,0
Jim,Hrivnak,WPG,30,G,1
Alexei,Zhamnov,WPG,10,F,2
Thomas,Steen,WPG,25,F,3
Luciano,Borsato,WPG,38,F,4
Mike,Eagles,WPG,36,F,5
Stu,Barnes,WPG,14,F,6
Darrin,Shannon,WPG,34,F,7
Keith,Tkachuk,WPG,7,F,8
Kris,King,WPG,17,F,9
Russ,Romaniuk,WPG,21,F,10
Andy,Brickley,WPG,23,F,11
Teemu,Selanne,WPG,13,F,12
Evgeny,Davydov,WPG,11,F,13
John,Druce,WPG,15,F,14
Bryan,Erickson,WPG,18,F,15
Tie,Domi,WPG,20,F,16
Phil,Housley,WPG,6,D,17
Teppo,Numminen,WPG,27,D,18
Fredrik,Olausson,WPG,4,D,19
Sergei,Bautin,WPG,3,D,20
Igor,Ulanov,WPG,5,D,21
Mike,Lalor,WPG,22,D,22
Dean,Kennedy,WPG,26,D,23
Randy,Carlyle,WPG,8,D,24
