First,Last,Team,Pos,JNo,Wgt,Agl,Spd,OfA,DfA,ShP,ChK,H/F,StH,ShA,End,Rgh,Pas,Agr
Jim,Wiemer,BOS,D,36,10,2,1,2,2,1,2,8,2,0,2,3,2,4
Grant,Fuhr,BUF,G,31,7,5,4,5,5,5,0,1,0,0,4,4,5,5
Tom,Draper,BUF,G,35,6,2,3,3,3,2,0,0,0,0,2,2,2,2
Dominik,Hasek,BUF,G,39,4,3,3,5,5,2,0,0,0,0,2,2,2,2
Pat,LaFontaine,BUF,F,16,5,5,4,6,4,3,3,3,5,4,6,0,5,2
Dale,Hawerchuk,BUF,F,10,6,5,4,4,4,3,2,0,5,1,3,0,5,2
Bob,Sweeney,BUF,F,20,9,4,2,3,5,3,4,7,3,4,4,2,3,3
Dave,Hannan,BUF,F,14,6,2,2,2,3,2,2,6,2,3,2,0,2,2
Randy,Wood,BUF,F,19,8,1,5,3,3,2,3,6,2,2,3,4,2,3
Yuri,Khmylev,BUF,F,13,7,4,3,3,4,4,3,1,3,4,3,3,3,2
Brad,May,BUF,F,27,9,2,2,2,2,2,3,10,2,3,2,5,1,4
Bob,Errey,BUF,F,12,6,4,4,2,4,2,4,4,3,2,4,5,2,3
Rob,Ray,BUF,F,32,10,3,4,1,1,1,3,10,2,2,1,5,1,4
Alexnder,Mogilny,BUF,F,89,7,6,6,6,3,4,2,4,5,5,4,4,5,2
Wayne,Presley,BUF,F,18,6,3,3,3,3,4,2,7,2,3,3,3,2,3
Donald,Audette,BUF,F,28,5,3,3,3,3,3,2,9,3,3,3,5,2,3
Bob,Corkum,BUF,F,29,10,2,2,1,3,2,2,3,2,2,3,5,2,2
Colin,Patterson,BUF,F,17,8,4,4,2,3,1,3,5,2,3,2,5,2,2
Doug,Bodger,BUF,D,8,10,2,3,3,4,2,3,6,2,1,4,1,3,3
Petr,Svoboda,BUF,D,7,5,4,4,3,4,3,3,6,4,0,4,0,3,3
Richard,Smehlik,BUF,D,42,10,3,3,3,4,3,4,4,3,1,3,0,3,2
Ken,Sutton,BUF,D,41,8,2,2,2,4,2,1,4,1,2,3,2,3,2
Grant,Ledyard,BUF,D,3,9,4,3,2,3,1,3,12,1,0,2,3,2,3
Gord,Donnelly,BUF,D,34,9,1,2,2,3,1,3,11,1,1,2,2,2,5
Randy,Moller,BUF,D,24,10,3,2,2,1,2,3,9,2,1,1,1,2,4
Keith,Carney,BUF,D,6,9,2,3,2,1,2,3,6,2,2,1,4,2,4
Mike,Vernon,CGY,G,30,4,3,4,4,4,4,0,0,0,0,4,4,3,3
Jeff,Reese,CGY,G,35,4,2,3,4,4,2,0,0,0,0,2,2,3,3
Joe,Nieuwendyk,CGY,F,25,8,4,4,4,3,4,3,4,4,4,4,3,2,2
Robert,Reichel,CGY,F,26,6,4,4,4,3,4,2,4,4,4,3,2,4,2
Joel,Otto,CGY,F,29,11,4,3,3,5,2,5,7,3,4,4,1,2,4
Brian,Skrudland,CGY,F,39,8,4,2,2,4,2,4,6,3,3,4,4,3,4
Gary,Roberts,CGY,F,10,7,4,4,5,4,4,4,8,4,5,5,1,3,4
Paul,Ranheim,CGY,F,28,8,4,4,3,4,3,1,3,4,3,3,4,3,1
Brent,Ashton,CGY,F,15,10,3,3,3,4,3,4,6,3,2,4,4,3,3
Chris,Lindberg,CGY,F,11,7,3,4,2,3,2,2,4,3,3,2,3,2,1
Craig,Berube,CGY,F,16,9,2,3,1,1,2,2,10,1,1,1,4,1,4
Theoren,Fleury,CGY,F,14,3,5,5,4,5,4,4,7,4,3,6,1,3,3
Sergei,Makarov,CGY,F,42,6,5,4,4,2,2,1,0,5,4,3,0,5,2
Greg,Paslawski,CGY,F,23,7,2,2,3,1,3,2,1,3,4,2,2,2,0
Ronnie,Stern,CGY,F,22,8,2,2,2,1,2,3,7,2,3,1,3,2,4
Gary,Suter,CGY,D,20,7,5,4,4,5,4,4,6,4,2,5,2,4,3
Al,MacInnis,CGY,D,2,8,4,4,4,3,6,3,5,4,1,5,2,4,3
Roger,Johansson,CGY,D,34,7,4,3,2,2,2,3,4,3,1,2,3,3,2
Trent,Yawney,CGY,D,18,7,3,2,2,4,2,3,6,3,0,3,1,3,3
Frank,Musil,CGY,D,3,9,4,4,2,3,2,3,6,2,1,3,5,2,3
Michel,Petit,CGY,D,7,9,3,3,2,3,4,3,9,4,1,3,3,3,3
Kevin,Dahl,CGY,D,4,7,2,3,2,4,2,3,3,3,1,3,1,3,2
Chris,Dahlquist,CGY,D,5,8,3,3,1,4,3,3,4,3,1,3,5,2,3
Alexnder,Godynyuk,CGY,D,21,10,2,3,2,2,2,3,8,2,2,3,5,1,2
Greg,Smyth,CGY,D,6,10,0,0,1,0,0,1,9,0,1,1,4,0,4
Ed,Belfour,CHI,G,30,6,6,4,6,6,5,0,0,0,0,6,6,5,5
Jim,Waite,CHI,G,29,6,3,3,3,3,2,0,0,0,0,2,2,3,3
Jeremy,Roenick,CHI,F,27,4,5,5,4,4,5,2,3,5,5,5,2,5,3
Christan,Ruuttu,CHI,F,22,8,4,4,3,4,3,4,4,4,2,4,2,4,3
Brent,Sutter,CHI,F,12,6,3,2,4,5,3,4,3,4,3,5,1,3,3
Troy,Murray,CHI,F,19,8,4,3,2,4,2,4,3,3,1,3,5,3,3
Michel,Goulet,CHI,F,16,8,4,3,3,3,2,2,6,3,5,3,3,1,2
Stephane,Matteau,CHI,F,32,8,2,2,3,2,1,3,6,2,3,3,2,1,3
Greg,Gilbert,CHI,F,14,7,2,2,3,3,2,4,6,3,3,3,1,1,2
Jocelyn,Lemieux,CHI,F,26,9,3,4,3,3,4,2,6,2,2,2,2,1,3
Stu,Grimson,CHI,F,23,11,1,1,0,2,1,3,10,1,1,2,5,1,4
Steve,Larmer,CHI,F,28,7,4,4,4,6,4,4,4,4,4,6,3,4,2
Dirk,Graham,CHI,F,33,8,4,3,3,5,3,4,7,3,2,4,5,3,4
Brian,Noonan,CHI,F,10,7,3,3,3,3,4,3,3,4,3,4,5,3,3
Dave,Christian,CHI,F,25,8,3,3,2,3,3,2,3,3,1,3,2,3,1
Joe,Murphy,CHI,F,17,7,4,4,4,3,4,3,2,3,3,4,2,4,3
Rob,Brown,CHI,F,44,6,4,3,3,2,2,2,8,4,1,2,0,2,4
Chris,Chelios,CHI,D,7,7,4,4,4,6,5,4,7,5,1,6,2,4,5
Steve,Smith,CHI,D,5,11,4,4,3,4,4,4,6,4,1,5,2,4,4
Bryan,Marchment,CHI,D,2,8,3,3,2,4,2,4,6,2,1,3,2,1,5
Frantsek,Kucera,CHI,D,6,9,2,2,2,4,3,1,3,2,1,3,4,2,2
Craig,Muni,CHI,D,3,9,2,2,1,3,2,4,6,2,0,4,2,2,3
Keith,Brown,CHI,D,4,7,2,2,2,3,2,3,9,3,1,3,4,3,3
Cam,Russell,CHI,D,8,5,3,3,1,3,2,3,4,3,1,3,5,2,4
Adam,Bennett,CHI,D,47,9,2,2,1,1,1,2,5,2,0,1,4,1,2
Jon,Casey,DAL,G,30,2,4,3,4,4,3,0,0,0,0,2,2,3,4
Darcy,Wakaluk,DAL,G,35,6,2,3,3,3,3,0,0,0,0,2,2,3,2
Mike,Modano,DAL,F,9,7,5,5,4,4,5,2,4,5,2,5,2,4,3
Dave,Gagner,DAL,F,15,6,4,4,4,4,3,2,4,4,4,4,2,4,4
Neal,Broten,DAL,F,7,4,4,4,3,5,3,3,0,3,2,4,3,4,1
Brent,Gilchrist,DAL,F,41,6,4,3,2,2,3,2,0,4,2,2,5,3,2
Bobby,Smith,DAL,F,18,10,3,3,2,3,2,2,6,3,2,3,4,4,0
Mike,McPhee,DAL,F,17,9,4,3,3,3,3,4,4,2,2,4,4,2,2
Gaetan,Duchesne,DAL,F,10,9,3,4,2,3,2,3,4,2,3,3,5,1,1
Brian,Propp,DAL,F,16,8,3,3,3,2,3,3,6,3,2,2,5,3,0
Russ,Courtnall,DAL,F,26,6,5,6,4,2,4,2,1,3,3,3,4,3,2
Ulf,Dahlen,DAL,F,22,8,3,4,4,3,3,2,0,4,4,4,3,3,0
Mike,Craig,DAL,F,20,6,3,3,3,3,3,3,7,4,3,3,2,2,3
Trent,Klatt,DAL,F,29,9,2,2,3,1,2,1,5,2,1,1,1,2,2
Shane,Churla,DAL,F,27,9,1,2,2,2,1,2,9,2,2,2,1,2,5
Stewart,Gavin,DAL,F,12,7,3,3,2,2,1,2,0,2,2,2,5,1,3
Mark,Tinordi,DAL,D,24,9,3,3,3,4,4,4,4,3,3,4,2,2,4
Tommy,Sjodin,DAL,D,33,6,4,3,3,3,4,2,1,3,1,3,3,3,1
Jim,Johnson,DAL,D,6,7,2,3,2,4,2,3,6,3,1,4,1,4,3
Derian,Hatcher,DAL,D,2,9,3,2,2,3,2,2,4,2,1,4,2,2,4
Craig,Ludwig,DAL,D,3,12,2,2,1,3,2,3,4,2,0,3,4,2,4
Richard,Matvichuk,DAL,D,4,7,2,3,1,3,3,3,6,3,0,3,5,2,2
Mark,Osiecki,DAL,D,23,9,2,2,1,2,2,2,5,2,0,1,3,1,2
Brad,Berry,DAL,D,5,7,2,2,0,3,2,3,4,2,0,3,5,1,4
Enrico,Ciccone,DAL,D,39,9,1,1,0,2,2,2,8,2,0,3,5,2,5
Tim,Cheveldae,DET,G,32,6,4,4,4,4,4,0,0,0,0,4,3,4,4
Vincent,Riendeau,DET,G,37,6,3,3,2,2,2,0,0,0,0,3,2,2,3
Steve,Yzerman,DET,F,19,6,6,5,6,4,4,1,1,5,5,6,1,5,2
Sergei,Fedorov,DET,F,91,7,5,4,4,4,4,3,2,5,4,4,1,5,3
Dallas,Drake,DET,F,28,4,4,4,3,4,3,2,0,3,3,4,1,3,3
Mike,Sillinger,DET,F,23,7,3,3,3,3,2,2,3,3,2,4,0,2,1
Vachslav,Kozlov,DET,F,13,5,4,3,2,2,3,1,2,3,3,3,5,3,3
Paul,Ysebaert,DET,F,21,7,4,4,4,4,3,2,6,4,4,3,3,4,2
Shawn,Burr,DET,F,11,6,2,2,3,3,2,4,6,2,2,3,1,2,3
Keith,Primeau,DET,F,55,11,3,3,3,4,3,1,6,2,4,3,1,2,4
Gerard,Gallant,DET,F,17,6,2,2,3,3,3,4,6,3,3,3,1,3,4
John,Ogrodnick,DET,F,25,9,3,3,3,3,3,3,2,3,4,2,1,3,0
Dino,Ciccarelli,DET,F,22,5,5,4,4,2,5,2,3,5,5,4,1,4,3
Ray,Sheppard,DET,F,26,6,2,2,4,3,3,3,3,3,4,3,2,2,2
Bob,Probert,DET,F,24,11,4,3,3,3,3,4,10,2,2,4,2,3,5
Sheldon,Kennedy,DET,F,15,4,3,3,3,2,2,2,3,2,4,2,5,2,2
Jim,Hiller,DET,F,14,7,2,2,2,1,2,3,7,2,2,1,4,2,4
Paul,Coffey,DET,D,77,9,6,5,4,3,4,2,4,6,1,5,1,5,3
Steve,Chiasson,DET,D,3,9,4,3,4,4,4,3,6,4,1,4,2,3,4
Yves,Racine,DET,D,33,6,3,3,3,4,4,3,4,3,1,4,2,3,3
Nicklas,Lidstrom,DET,D,5,5,4,3,3,4,4,3,4,4,1,4,2,4,1
Mark,Howe,DET,D,4,6,3,3,3,4,3,3,2,3,1,3,0,3,1
Vladimir,Konstantov,DET,D,16,6,3,3,2,4,3,4,7,3,1,4,2,3,3
Steve,Konroyd,DET,D,8,8,3,3,2,3,2,4,4,2,1,3,2,3,3
Brad,McCrimmon,DET,D,2,8,3,2,2,4,2,4,6,1,0,3,1,3,3
Bill,Ranford,EDM,G,30,4,4,3,3,3,4,0,0,0,0,4,4,5,4
Ron,Tugnutt,EDM,G,1,2,2,3,3,3,1,0,0,0,0,1,1,1,2
Doug,Weight,EDM,F,39,6,3,3,3,4,3,3,4,4,3,3,1,3,2
Todd,Elik,EDM,F,34,7,3,4,3,3,2,2,4,3,3,3,1,2,3
Craig,MacTavish,EDM,F,14,8,4,3,2,4,2,4,4,3,2,5,2,2,3
Kevin,Todd,EDM,F,15,5,3,4,3,3,3,3,6,3,2,3,3,3,2
Shjon,Podein,EDM,F,26,9,2,2,3,2,2,2,6,2,4,2,5,1,2
Mike,Hudson,EDM,F,20,9,3,3,2,4,2,4,8,2,0,3,2,3,3
Shayne,Corson,EDM,F,9,9,4,4,3,4,3,4,6,4,2,4,2,3,4
Craig,Simpson,EDM,F,18,8,3,3,4,3,4,2,3,4,5,3,1,3,2
Zdeno,Ciger,EDM,F,8,7,4,3,3,3,3,2,0,3,3,3,2,3,0
Kelly,Buchberger,EDM,F,16,10,2,2,2,3,2,4,10,1,3,3,2,1,3
Martin,Gelinas,EDM,F,7,8,3,3,2,2,3,2,4,3,2,2,4,2,2
Louie,DeBrusk,EDM,F,29,12,1,1,2,1,2,3,12,1,4,1,5,1,5
Petr,Klima,EDM,F,85,7,5,5,3,2,4,1,3,5,5,4,5,3,3
Scott,Mellanby,EDM,F,27,9,1,1,3,3,3,4,7,2,3,3,3,2,4
Steven,Rice,EDM,F,12,11,2,2,2,1,2,1,3,2,1,1,2,2,3
Dave,Manson,EDM,D,24,9,4,4,3,5,5,4,10,4,1,5,4,3,4
Igor,Kravchuk,EDM,D,21,9,4,3,3,4,3,3,2,4,2,4,4,3,2
Brian,Benning,EDM,D,19,8,2,2,3,4,3,3,6,2,2,4,2,3,4
Geoff,Smith,EDM,D,25,9,4,3,2,3,1,1,4,3,1,3,2,3,1
Brian,Glynn,EDM,D,6,11,3,3,2,3,4,3,4,2,1,4,3,2,3
Luke,Richardson,EDM,D,22,11,3,3,1,3,2,4,6,3,0,2,4,3,4
Chris,Joseph,EDM,D,2,10,3,3,3,1,3,3,5,3,1,1,2,3,3
Brad,Werenka,EDM,D,36,9,3,3,2,2,3,2,6,3,3,2,5,2,3
John,Vanbiesbrk,FLA,G,34,5,3,4,5,5,3,0,0,0,0,3,4,3,4
Mark,Fitzpatrik,FLA,G,30,7,2,4,2,2,3,0,0,0,0,2,2,2,2
Tom,Fitzgerald,FLA,F,14,8,2,2,2,3,2,2,1,2,2,3,2,2,2
Scott,Mellanby,FLA,F,27,9,1,1,3,3,3,4,7,2,3,3,3,2,4
Brian,Skrudland,FLA,F,39,8,4,2,2,4,2,4,6,3,3,4,4,3,4
Mike,Hough,FLA,F,18,7,3,2,3,3,3,2,4,3,2,3,2,3,3
Dave,Lowry,FLA,F,10,8,2,2,2,3,2,3,6,2,2,3,4,2,4
Andrei,Lomakin,FLA,F,23,7,4,3,3,2,3,1,2,3,3,3,2,4,2
Randy,Gilhen,FLA,F,20,7,2,2,1,3,2,3,2,2,1,3,5,2,1
Jesse,Belanger,FLA,F,29,4,1,2,3,1,2,2,0,2,2,1,4,2,1
Bill,Lindsay,FLA,F,22,7,1,2,2,2,2,2,0,2,2,2,4,2,1
Joe,Cirella,FLA,D,6,10,3,3,2,2,3,2,9,2,2,3,3,2,3
Alexnder,Godynyuk,FLA,D,21,10,2,3,2,2,2,3,8,2,2,3,5,1,2
Gord,Murphy,FLA,D,28,8,5,4,2,3,4,4,9,3,1,3,3,3,3
Gord,Hynes,FLA,D,26,4,2,2,2,2,1,3,2,2,2,2,5,2,2
Milan,Tichy,FLA,D,43,8,3,2,1,1,2,3,8,2,1,2,2,2,4
Stephane,Richer,FLA,D,25,9,3,3,3,3,3,3,3,3,2,3,3,2,2
Sean,Burke,HFD,G,1,10,4,3,2,2,4,0,0,0,0,4,4,4,4
Mario,Gosselin,HFD,G,31,3,2,3,4,4,2,0,0,0,0,1,1,2,2
Frank,Pietrngelo,HFD,G,40,6,3,3,1,1,3,0,0,0,0,2,2,2,2
Andrew,Cassels,HFD,F,21,7,3,3,4,4,2,2,0,3,4,4,0,3,2
Terry,Yake,HFD,F,25,6,3,3,4,3,3,3,3,3,4,4,0,3,2
Mikael,Nylander,HFD,F,36,5,4,3,3,2,3,2,2,3,2,3,1,3,2
Robert,Kron,HFD,F,38,5,3,3,3,4,2,2,2,3,3,3,4,3,2
Robert,Petrovicky,HFD,F,39,5,4,3,2,2,3,2,2,3,1,3,4,3,3
Geoff,Sanderson,HFD,F,8,6,4,4,4,3,4,2,0,4,4,4,3,3,1
Patrick,Poulin,HFD,F,24,10,3,3,3,2,3,3,0,3,3,3,2,3,2
Yvon,Corriveau,HFD,F,11,8,2,2,2,3,2,3,8,1,2,3,3,1,1
Jim,McKenzie,HFD,F,33,9,2,2,1,1,2,2,4,2,2,2,3,1,4
Randy,Cunnyworth,HFD,F,7,6,2,3,2,3,2,3,6,2,2,3,5,3,3
Pat,Verbeek,HFD,F,16,7,3,4,4,3,4,3,7,4,4,4,2,4,4
Mark,Janssens,HFD,F,22,11,3,3,3,3,3,4,6,3,3,4,1,2,4
Nick,Kypreos,HFD,F,20,8,2,2,2,2,1,3,6,2,4,3,4,1,5
Mark,Greig,HFD,F,17,7,1,1,2,1,0,1,5,1,1,1,0,1,3
Jamie,Leach,HFD,F,34,8,3,3,2,1,2,3,9,2,3,1,5,2,0
Zarley,Zalapski,HFD,D,3,10,5,4,4,5,4,4,4,4,2,5,1,3,3
Eric,Weinrich,HFD,D,4,10,3,4,3,4,3,3,4,3,2,4,1,3,3
Adam,Burt,HFD,D,6,7,4,3,2,3,4,3,4,4,1,4,3,3,4
Dan,Keczmer,HFD,D,37,7,2,2,2,3,1,1,6,2,2,2,5,1,3
Doug,Houda,HFD,D,27,7,2,2,1,2,2,2,9,2,1,2,4,1,4
Randy,Ladouceur,HFD,D,29,11,3,3,1,3,1,2,4,2,1,3,5,1,4
Allen,Pedersen,HFD,D,41,10,2,3,1,3,2,3,6,2,1,2,1,2,3
Kelly,Hrudey,LA,G,32,6,3,3,4,4,4,0,0,0,0,2,2,2,3
Robb,Stauber,LA,G,35,6,2,3,5,5,3,0,0,0,0,2,2,2,2
Rick,Knickle,LA,G,1,2,2,3,3,3,2,0,0,0,0,2,2,2,1
Wayne,Gretzky,LA,F,99,4,6,4,5,4,2,2,2,6,2,6,0,6,0
Jimmy,Carson,LA,F,12,9,4,4,4,3,4,2,3,4,5,4,2,4,1
Corey,Millen,LA,F,23,4,3,4,4,3,2,1,5,3,4,3,3,3,3
Gary,Shuchuk,LA,F,14,6,2,2,2,0,1,2,3,2,2,0,3,2,2
Luc,Robitaille,LA,F,20,7,4,4,5,3,4,2,4,5,6,5,2,4,3
Tony,Granato,LA,F,21,6,4,5,4,4,3,3,3,3,4,3,3,3,4
Lonnie,Loach,LA,F,29,6,2,3,3,2,2,2,6,2,3,2,2,2,2
Pat,Conacher,LA,F,15,7,2,2,2,2,2,2,4,2,3,2,4,3,1
Warren,Rychel,LA,F,10,7,2,2,2,1,1,3,6,1,2,1,5,1,5
Tomas,Sandstrom,LA,F,7,9,4,4,5,3,5,3,8,4,5,3,2,3,3
Jari,Kurri,LA,F,17,8,4,3,4,4,4,2,1,4,3,4,1,3,2
Mike,Donnelly,LA,F,11,6,4,4,4,3,2,3,4,2,3,4,3,3,2
Dave,Taylor,LA,F,18,7,3,2,2,3,3,3,5,3,2,3,3,2,3
Rob,Blake,LA,D,4,11,4,4,4,4,4,3,3,4,1,4,3,4,4
Marty,McSorley,LA,D,33,14,3,3,3,4,3,3,9,3,2,4,4,3,6
Alexei,Zhitnik,LA,D,2,5,4,4,3,4,3,3,4,3,2,4,1,3,3
Darryl,Sydor,LA,D,25,9,3,3,2,3,3,3,4,3,1,3,2,3,2
Charlie,Huddy,LA,D,22,10,3,2,2,4,3,3,4,3,1,3,1,3,2
Mark,Hardy,LA,D,24,8,3,3,2,3,1,3,6,2,0,2,1,2,3
Brent,Thompson,LA,D,3,5,2,2,1,2,1,2,8,2,0,2,1,1,4
Tim,Watters,LA,D,5,6,2,2,1,2,1,2,6,2,0,2,1,2,2
Rene,Chapdlaine,LA,D,8,8,1,1,0,1,0,1,5,1,0,1,3,1,3
Patrick,Roy,MTL,G,33,6,6,4,4,4,6,0,0,0,0,5,5,6,6
Andre,Racicot,MTL,G,37,4,2,3,3,3,3,0,0,0,0,2,2,2,2
Kirk,Muller,MTL,F,11,9,4,4,4,4,4,4,4,4,4,4,1,4,3
Stephan,Lebeau,MTL,F,47,5,4,4,4,3,3,2,1,4,5,4,0,3,1
Denis,Savard,MTL,F,18,5,5,4,4,3,3,2,3,5,3,3,0,4,3
Guy,Carbonneau,MTL,F,21,6,4,3,2,4,2,4,1,4,1,3,3,4,1
Vincent,Damphousse,MTL,F,25,6,4,4,4,3,3,2,0,5,3,4,2,4,3
Gilbert,Dionne,MTL,F,45,8,3,4,3,3,3,2,4,3,3,3,2,3,2
John,Leclair,MTL,F,17,11,3,4,3,3,3,3,0,3,3,3,2,2,2
Benoit,Brunet,MTL,F,22,6,2,2,3,2,2,2,2,2,3,2,2,2,2
Mario,Roberge,MTL,F,32,6,1,1,1,1,2,3,8,1,3,1,3,1,4
Brian,Bellows,MTL,F,23,8,4,4,4,3,4,2,3,4,4,4,2,4,2
Mike,Keane,MTL,F,12,5,3,4,4,3,2,3,3,2,3,3,0,3,3
Gary,Leeman,MTL,F,26,5,4,4,3,2,3,2,9,3,3,3,2,3,2
Todd,Ewen,MTL,F,36,11,1,1,2,1,1,3,7,1,2,2,3,1,4
Ed,Ronan,MTL,F,31,8,2,2,2,1,2,3,3,2,2,1,4,2,1
Eric,Desjardins,MTL,D,28,9,4,3,3,4,3,4,3,4,2,4,2,3,3
Matt,Schneider,MTL,D,27,7,3,4,3,3,3,3,4,4,2,4,2,4,3
Patrice,Brisebois,MTL,D,43,5,3,3,3,3,3,3,7,2,2,4,3,2,3
Kevin,Haller,MTL,D,14,6,2,2,2,3,1,2,6,1,2,4,5,2,3
Rob,Ramage,MTL,D,5,9,3,2,2,3,3,4,7,3,1,3,5,3,4
J.J.,Daigneault,MTL,D,48,6,4,3,2,4,4,3,4,3,2,4,4,2,2
Lyle,Odelein,MTL,D,24,9,3,2,2,4,2,3,6,2,0,3,3,2,4
Sean,Hill,MTL,D,38,8,2,2,2,2,2,3,5,2,1,2,3,1,4
Donald,Dufresne,MTL,D,34,9,2,2,1,2,2,3,9,2,1,2,3,1,3
Chris,Terreri,NJ,G,31,2,4,4,4,4,3,0,0,0,0,3,3,3,3
Craig,Billington,NJ,G,1,4,3,4,2,2,1,0,0,0,0,2,2,2,2
Alexnder,Semak,NJ,F,20,6,4,3,4,4,3,3,1,4,4,3,2,4,2
Bernie,Nicholls,NJ,F,19,6,3,3,4,3,3,1,3,4,2,3,0,4,3
Peter,Stastny,NJ,F,26,9,4,3,3,4,3,3,0,4,4,3,2,4,1
Janne,Ojanen,NJ,F,34,9,2,2,3,2,2,2,2,2,2,2,2,3,2
Valeri,Zelepukin,NJ,F,25,6,4,4,4,3,3,1,0,4,3,3,1,4,3
John,MacLean,NJ,F,15,9,3,3,3,4,4,3,7,3,3,4,4,2,3
Bobby,Holik,NJ,F,16,10,3,4,3,3,3,3,3,3,3,4,5,3,3
Tom,Chorske,NJ,F,9,9,2,2,3,2,1,2,3,3,2,2,2,3,2
Troy,Mallette,NJ,F,8,10,2,2,2,2,1,1,8,2,4,1,3,1,3
Stephane,Richer,NJ,F,44,9,4,4,4,3,5,2,1,4,3,4,4,3,2
Claude,Lemieux,NJ,F,22,11,4,4,4,3,4,3,7,3,2,4,3,3,4
Bill,Guerin,NJ,F,12,9,2,2,3,2,3,2,3,3,3,2,3,2,3
Randy,McKay,NJ,F,21,6,2,2,2,2,2,2,9,2,2,3,4,2,4
Scott,Pellerin,NJ,F,18,6,2,3,3,3,2,2,6,2,3,2,2,2,3
Dave,Barr,NJ,F,11,8,3,3,2,3,3,3,3,2,3,3,2,2,2
Scott,Stevens,NJ,D,4,11,4,4,3,4,4,5,6,4,2,5,0,4,3
Vachslav,Fetisov,NJ,D,2,11,4,2,2,4,4,4,4,4,1,3,0,4,4
Bruce,Driver,NJ,D,23,6,3,3,3,4,2,3,4,3,2,4,2,3,2
